Order ID,Product ID,Customer ID,Date,Quantity,Region,Name_x,Age,Country,Join Date,Name_y,Category,Cost Price,Selling Price,Revenue,Cost,Profit,Order Date,Month
ORD00001,PROD005,CUST0128,2024-08-01,2,West,Virginia Burton,50,Panama,2024-11-11,Keyboard,Accessories,214,295,590,428,162,2024-08-01,2024-08
ORD00418,PROD005,CUST0014,2023-08-13,1,West,Matthew Alvarado,53,United Arab Emirates,2024-12-10,Keyboard,Accessories,214,295,295,214,81,2023-08-13,2023-08
ORD00706,PROD005,CUST0014,2024-12-15,3,West,Matthew Alvarado,53,United Arab Emirates,2024-12-10,Keyboard,Accessories,214,295,885,642,243,2024-12-15,2024-12
ORD00991,PROD005,CUST0009,2024-05-24,2,East,Laura Maddox,36,Ireland,2025-02-22,Keyboard,Accessories,214,295,590,428,162,2024-05-24,2024-05
ORD00307,PROD005,CUST0025,2023-07-30,2,East,Elizabeth Bond,38,Uzbekistan,2025-03-26,Keyboard,Accessories,214,295,590,428,162,2023-07-30,2023-07
ORD00010,PROD005,CUST0022,2025-05-10,3,North,Mark Taylor,47,Albania,2024-01-17,Keyboard,Accessories,214,295,885,642,243,2025-05-10,2025-05
ORD00251,PROD005,CUST0004,2024-10-04,4,West,Joseph Oconnor,32,Sweden,2023-09-07,Keyboard,Accessories,214,295,1180,856,324,2024-10-04,2024-10
ORD00132,PROD005,CUST0154,2023-12-18,3,South,Leslie Young,43,Finland,2023-01-05,Keyboard,Accessories,214,295,885,642,243,2023-12-18,2023-12
ORD00063,PROD005,CUST0029,2024-02-19,4,West,Pamela Parker,61,Swaziland,2022-05-28,Keyboard,Accessories,214,295,1180,856,324,2024-02-19,2024-02
ORD00015,PROD005,CUST0109,2025-03-13,4,West,Ashley Boone,25,Nepal,2023-10-19,Keyboard,Accessories,214,295,1180,856,324,2025-03-13,2025-03
ORD00220,PROD005,CUST0146,2024-07-05,2,West,Aaron Miller,22,Congo,2025-01-25,Keyboard,Accessories,214,295,590,428,162,2024-07-05,2024-07
ORD00894,PROD005,CUST0085,2025-04-27,2,North,Tiffany Orr,25,Bahrain,2023-04-17,Keyboard,Accessories,214,295,590,428,162,2025-04-27,2025-04
ORD00025,PROD005,CUST0041,2024-10-26,2,North,Jodi Thompson,20,Guatemala,2024-04-30,Keyboard,Accessories,214,295,590,428,162,2024-10-26,2024-10
ORD00748,PROD005,CUST0165,2024-12-23,2,South,Katrina Campbell,54,Denmark,2022-06-08,Keyboard,Accessories,214,295,590,428,162,2024-12-23,2024-12
ORD00302,PROD005,CUST0153,2024-02-07,1,West,Christina Meyer,32,Montserrat,2023-12-04,Keyboard,Accessories,214,295,295,214,81,2024-02-07,2024-02
ORD00733,PROD005,CUST0076,2024-07-23,4,South,Tara Osborne,43,Denmark,2023-11-25,Keyboard,Accessories,214,295,1180,856,324,2024-07-23,2024-07
ORD00492,PROD005,CUST0027,2023-12-19,3,North,Charles Knox,29,Korea,2023-11-08,Keyboard,Accessories,214,295,885,642,243,2023-12-19,2023-12
ORD00429,PROD005,CUST0134,2024-01-06,1,South,Lauren Alexander,61,Belize,2023-06-11,Keyboard,Accessories,214,295,295,214,81,2024-01-06,2024-01
ORD00129,PROD005,CUST0012,2024-07-16,3,North,Stefanie Morton,28,Panama,2024-05-18,Keyboard,Accessories,214,295,885,642,243,2024-07-16,2024-07
ORD00378,PROD005,CUST0012,2023-08-06,4,North,Stefanie Morton,28,Panama,2024-05-18,Keyboard,Accessories,214,295,1180,856,324,2023-08-06,2023-08
ORD00489,PROD005,CUST0053,2024-07-18,3,North,Sara Gentry,26,Belize,2022-11-27,Keyboard,Accessories,214,295,885,642,243,2024-07-18,2024-07
ORD00625,PROD005,CUST0053,2024-08-06,4,South,Sara Gentry,26,Belize,2022-11-27,Keyboard,Accessories,214,295,1180,856,324,2024-08-06,2024-08
ORD00833,PROD005,CUST0053,2025-02-05,2,East,Sara Gentry,26,Belize,2022-11-27,Keyboard,Accessories,214,295,590,428,162,2025-02-05,2025-02
ORD00495,PROD005,CUST0199,2025-01-01,3,West,Ryan Meyer,20,Peru,2024-07-23,Keyboard,Accessories,214,295,885,642,243,2025-01-01,2025-01
ORD00215,PROD005,CUST0173,2024-01-10,2,West,Tracy Smith,30,Senegal,2024-11-18,Keyboard,Accessories,214,295,590,428,162,2024-01-10,2024-01
ORD00350,PROD005,CUST0107,2023-10-14,3,South,Brianna Buchanan,18,Falkland Islands (Malvinas),2025-01-21,Keyboard,Accessories,214,295,885,642,243,2023-10-14,2023-10
ORD00747,PROD005,CUST0107,2024-09-08,2,East,Brianna Buchanan,18,Falkland Islands (Malvinas),2025-01-21,Keyboard,Accessories,214,295,590,428,162,2024-09-08,2024-09
ORD00971,PROD005,CUST0036,2024-03-21,1,South,Jason Burgess,32,Argentina,2023-02-24,Keyboard,Accessories,214,295,295,214,81,2024-03-21,2024-03
ORD00064,PROD005,CUST0149,2025-03-05,2,West,Christopher Smith,56,Gibraltar,2024-04-17,Keyboard,Accessories,214,295,590,428,162,2025-03-05,2025-03
ORD00197,PROD005,CUST0039,2023-09-03,3,South,Sean Estrada,61,France,2023-05-23,Keyboard,Accessories,214,295,885,642,243,2023-09-03,2023-09
ORD00961,PROD005,CUST0039,2023-10-15,3,East,Sean Estrada,61,France,2023-05-23,Keyboard,Accessories,214,295,885,642,243,2023-10-15,2023-10
ORD00986,PROD005,CUST0150,2023-12-06,2,West,Joshua Harris,44,Netherlands Antilles,2024-06-12,Keyboard,Accessories,214,295,590,428,162,2023-12-06,2023-12
ORD00835,PROD005,CUST0069,2024-03-09,3,West,Christy Henry,21,Saint Barthelemy,2025-01-23,Keyboard,Accessories,214,295,885,642,243,2024-03-09,2024-03
ORD00849,PROD005,CUST0073,2023-07-06,4,West,Brandon Wilson,21,Swaziland,2023-05-08,Keyboard,Accessories,214,295,1180,856,324,2023-07-06,2023-07
ORD00578,PROD005,CUST0061,2023-07-23,1,South,Melanie Lawson,25,United States Virgin Islands,2022-10-18,Keyboard,Accessories,214,295,295,214,81,2023-07-23,2023-07
ORD00098,PROD005,CUST0035,2023-07-20,4,South,Troy Leonard,33,Yemen,2023-04-25,Keyboard,Accessories,214,295,1180,856,324,2023-07-20,2023-07
ORD00770,PROD005,CUST0035,2024-06-08,3,South,Troy Leonard,33,Yemen,2023-04-25,Keyboard,Accessories,214,295,885,642,243,2024-06-08,2024-06
ORD00496,PROD005,CUST0131,2023-11-01,2,North,Robert Patel,41,Macao,2024-09-03,Keyboard,Accessories,214,295,590,428,162,2023-11-01,2023-11
ORD00658,PROD005,CUST0108,2025-03-16,4,West,Sydney Lopez,61,Morocco,2024-06-19,Keyboard,Accessories,214,295,1180,856,324,2025-03-16,2025-03
ORD00693,PROD005,CUST0172,2025-05-09,1,West,John Alvarez,53,Mozambique,2023-01-18,Keyboard,Accessories,214,295,295,214,81,2025-05-09,2025-05
ORD00978,PROD005,CUST0172,2023-09-17,2,East,John Alvarez,53,Mozambique,2023-01-18,Keyboard,Accessories,214,295,590,428,162,2023-09-17,2023-09
ORD00229,PROD005,CUST0049,2024-07-08,4,West,Jasmine Fischer,21,Angola,2023-06-21,Keyboard,Accessories,214,295,1180,856,324,2024-07-08,2024-07
ORD00116,PROD005,CUST0047,2023-06-06,3,East,Alexandra Sanchez,56,Latvia,2023-01-25,Keyboard,Accessories,214,295,885,642,243,2023-06-06,2023-06
ORD00460,PROD005,CUST0047,2023-11-15,1,West,Alexandra Sanchez,56,Latvia,2023-01-25,Keyboard,Accessories,214,295,295,214,81,2023-11-15,2023-11
ORD00119,PROD005,CUST0080,2024-05-17,2,West,Darryl Gaines,53,Mali,2023-01-31,Keyboard,Accessories,214,295,590,428,162,2024-05-17,2024-05
ORD00413,PROD005,CUST0118,2024-09-05,4,North,Cory Waller,22,Kiribati,2023-05-27,Keyboard,Accessories,214,295,1180,856,324,2024-09-05,2024-09
ORD00744,PROD005,CUST0118,2025-04-13,4,North,Cory Waller,22,Kiribati,2023-05-27,Keyboard,Accessories,214,295,1180,856,324,2025-04-13,2025-04
ORD00987,PROD005,CUST0118,2023-05-18,4,South,Cory Waller,22,Kiribati,2023-05-27,Keyboard,Accessories,214,295,1180,856,324,2023-05-18,2023-05
